id_user,created_at,updated_at
223459,2025-08-25 02:48:52,2025-08-25 02:48:52
234949,2025-11-03 05:50:59,2025-11-03 05:50:59
223490,2025-07-30 18:01:55,2025-07-30 18:01:55
206135,2026-03-15 13:29:37,2026-03-15 13:29:37
247893,2024-08-29 00:34:14,2024-08-29 00:34:14
243549,2024-06-18 21:24:55,2024-06-18 21:24:55
216351,2025-11-30 19:58:04,2025-11-30 19:58:04
225811,2024-11-09 06:22:01,2024-11-09 06:22:01
229645,2025-04-05 06:46:43,2025-04-05 06:46:43
202365,2025-04-07 06:42:17,2025-04-07 06:42:17
